Symbol,Company_Name,StartDate,EndDate,AdjEndDate,Total_Return,Price,MarketCap,EnterpriseValue,Sales,EBIT,OCF,FCF,Capex,EBIT_ROIC,OCF_ROIC,FCF_ROIC,Sales_Capital,CurrentAssets,Cash,AccountsPayable,NetFixedAssets,TangibleCapital,ROA,ROE,EBITMargin,NetMargin,NetIncome,TotalAssets,ShareHoldersEquity,NetEquityChange,BuyBackYield,EBIT_EV,OCF_EV,FCF_EV,EBIT1year,EBITGrowth1year,EBIT3year,EBITGrowth3year,EBIT5year,EBITGrowth5year,Sales1year,SalesGrowth1year,Sales3year,SalesGrowth3year,Sales5year,SalesGrowth5year,OCF1year,OCFGrowth1year,OCF3year,OCFGrowth3year,OCF5year,OCFGrowth5year,SharesOutstanding,SharesOutstanding1year,NetRepurchase1year,DividendsPerShare,DividendYield,ShareholderYield1,ShareholderYield2,Sector,Cash,Investments,Cash+LT,ST_Debt,LT_Debt,Net_Cash,R_D
AAPL-US,Apple Inc.,12/31/2020,12/31/2020,12/31/2020,0,132.69,2252646.8,2283945.8,274150,65339,80674,73365,7309,1.152953009,1.423549964,1.294577473,4.837571245,147690.5,96597.75,38788.25,44366.5,56671,0.17634402,0.75150944,0.238333029,0.209414554,57411,325562.5,76394.25,71478,0.031730673,0.028607947,0.035322204,0.032122041,63242,0.033158344,60028,0.088475378,66630,-0.019375657,259968,0.054552868,228572,0.199403251,231283,0.185344362,69391,0.162600337,63598,0.268499009,81266,-0.007284719,16976.763,17772.944,0.046898281,0.795,0.005991409,0.052889689,0.037722082,Information Technology,96597.75,101789.75,198387.5,18343.75,101650.25,78393.5,18752
MSFT-US,Microsoft Corporation,12/31/2020,12/31/2020,12/31/2020,0,222.42,1682384.9,1627623.9,147114,56149,66192,49229,16963,0.711647655,0.838935361,0.623941698,1.864562738,174142.75,136595.75,10774,52127,78900,0.162302498,0.407423452,0.381669997,0.322851666,47496,292638.75,116576.5,23338,0.013871974,0.034497527,0.040667872,0.030245931,45441,0.235646223,26247,1.13925401,26280,1.136567732,129565,0.135445529,93444,0.574354694,90057,0.633565409,52346,0.264509227,40398,0.638496955,29320,1.257571623,7564,7634,0.009254363,2.09,0.009396637,0.018651,0.023268611,Information Technology,136595.75,2897,139492.75,7211,76913.5,55368.25,19630
AMZN-US,"Amazon.com, Inc.",12/31/2020,12/31/2020,12/31/2020,0,3256.93,1634978.9,1662390.9,347946,20392,55292,24663,30629,0.196415456,0.532571764,0.237553668,3.351410966,101549,61340.5,49152.25,112764.5,103820.75,0.070425004,0.244888756,0.058606795,0.049941658,17377,246744.75,70958.75,0,0,0.01226667,0.033260529,0.014835861,14669,0.390142477,3424,4.955607477,1890,9.789417989,265468,0.310689047,161154,1.159090063,100588,2.459120372,35332,0.564926978,16742,2.302592283,9823,4.628830296,502,495,-0.013944223,0,0,-0.013944223,0,Consumer Discretionary,61340.5,1679,63019.5,14515,71096.5,-22592,40429
FB-US,"Facebook, Inc. Class A",12/31/2020,12/31/2020,12/31/2020,0,273.16,778506,733808,78976,28754,36704,22102,14602,0.513663789,0.655683234,0.394831921,1.410833672,67375.75,57419.75,1836.25,47858.5,55978.25,0.181223392,0.232661966,0.364085292,0.320033934,25275,139468.75,108634,6266,0.00804875,0.039184637,0.050018533,0.030119595,27948,0.028839273,17500,0.643085714,4832,4.950745033,66529,0.187091344,36490,1.164318992,15937,3.95551233,31935,0.149334586,22895,0.603144791,7355,3.990346703,2850,2854,0.001403509,0,0,0.001403509,0.00804875,Communication Services,57419.75,1721,59140.75,994,10015,48131.75,17117
TSLA-US,Tesla Inc,12/31/2020,12/31/2020,12/31/2020,0,705.67,668975.1,670902.1,28176,1766,4349,1827,2522,0.075988038,0.187130225,0.078612767,1.212366343,16019,9577.5,4084.25,20883.25,23240.5,0.013514818,0.050387504,0.062677456,0.018632879,525,38846.25,10419.25,-7739,-0.011568443,0.002632277,0.006482317,0.002723199,151.678,10.64308601,-1361.043,-2.297534317,-531.134,-4.324961309,24420.013,0.15380774,10755.133,1.619772345,3788.306,6.437625155,2214.561,0.963820369,-1018.754,-5.268940294,-581.052,-8.484700165,948,900,-0.050632911,0,0,-0.050632911,-0.011568443,Consumer Discretionary,9577.5,282.5,9860,3238.25,11896,-5274.25,1314
GOOGL-US,Alphabet Inc. Class A,12/31/2020,12/31/2020,12/31/2020,0,1752.64,1187806.3,1082752.3,171435,34570,56874,34020,22854,0.300093969,0.493709702,0.29531955,1.488186567,153258.5,122645,4528.75,89112.5,115197.25,0.126748929,0.173081979,0.201650771,0.208318021,35713,281761.75,206335.75,29343,0.024703523,0.031927893,0.052527249,0.031419929,34376,0.005643472,27641,0.25067834,17164,1.014099278,154569,0.109116317,104380,0.64241234,70548,1.430047627,53080,0.071477016,36236,0.5695441,25973,1.189735495,677.724,690.906,0.019450396,0,0,0.019450396,0.024703523,Communication Services,122645,13265.5,135910.5,1929.75,17468.25,116512.5,27773
GOOG-US,Alphabet Inc. Class C,12/31/2020,12/31/2020,12/31/2020,0,1751.88,1187291.1,1082237.1,171435,34570,56874,34020,22854,0.300093969,0.493709702,0.29531955,1.488186567,153258.5,122645,4528.75,89112.5,115197.25,0.126748929,0.173081979,0.201650771,0.208318021,35713,281761.75,206335.75,29343,0.024714242,0.031943093,0.052552255,0.031434886,34376,0.005643472,27641,0.25067834,17164,1.014099278,154569,0.109116317,104380,0.64241234,70548,1.430047627,53080,0.071477016,36236,0.5695441,25973,1.189735495,677.724,690.906,0.019450396,0,0,0.019450396,0.024714242,Communication Services,122645,13265.5,135910.5,1929.75,17468.25,116512.5,27773
BRK.B-US,Berkshire Hathaway Inc. Class B,12/31/2020,12/31/2020,12/31/2020,0,231.87,546275.06,517693.06,246497,28940,41304,26948,14356,0.137321705,0.195989485,0.127869568,1.16964023,214139,139393.75,40185.5,176186.25,210746,0.044858735,0.089332999,0.11740508,0.145417591,35845,799064,401251.5,17755,0.032501941,0.05590185,0.079784728,0.052054011,33873,-0.145632214,27625,0.04760181,36732,-0.212131112,252962,-0.025557198,239136,0.030781647,207049,0.190524948,37455,0.102763316,44861,-0.07928936,32008,0.290427393,2355.954071,2447.57711,0.038889994,0,0,0.038889994,0.032501941,Financials,139393.75,257024,396417.75,11535.5,100768,284114.25,#N/A
JNJ-US,Johnson & Johnson,12/31/2020,12/31/2020,12/31/2020,0,157.38,414250.47,421227.47,80857,22631,21591,18307,3284,0.613938473,0.585725137,0.496636102,2.193505507,48242.5,21806.75,7441,17867.25,36862,0.105861786,0.273729333,0.279889187,0.210074576,16986,160454.5,62054,2030,0.004900417,0.053726316,0.051257341,0.043461078,19157,0.181343634,20862,0.084795322,18854,0.200328843,81752,-0.010947744,74413,0.086597772,70621,0.144942722,23262,-0.071833892,21604,-0.00060174,18562,0.163182847,2632.167,2630.961,-0.000458178,3.92,0.024907866,0.024449689,0.029808283,Health Care,21806.75,1502,23308.75,3517.75,27586.25,-7795.25,9325
JPM-US,JPMorgan Chase & Co.,12/31/2020,12/31/2020,12/31/2020,0,127.07,387305.1,958585.1,132996,#N/A,74586,74586,0,#N/A,#N/A,#N/A,#N/A,1454808.25,#N/A,7133.333333,34286.75,#N/A,0.008266644,0.095980706,#N/A,0.190915516,25391,3071500.25,264542.75,11568,0.029867926,#N/A,0.077808428,0.077808428,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,144540.0005,-0.079867168,114477,0.161770487,95161,0.397589349,24361,2.061696975,17899,3.167048438,28906,1.580294748,3047.966587,3136.484924,0.029041768,3.6,0.028330841,0.057372609,0.058198767,Financials,#N/A,359617.75,#N/A,277922.75,324172,#N/A,#N/A
