Symbol,Company_Name,StartDate,EndDate,AdjEndDate,Total_Return,Price,MarketCap,EnterpriseValue,Sales,EBIT,OCF,FCF,Capex,EBIT_ROIC,OCF_ROIC,FCF_ROIC,Sales_Capital,CurrentAssets,Cash,AccountsPayable,NetFixedAssets,TangibleCapital,ROA,ROE,EBITMargin,NetMargin,NetIncome,TotalAssets,ShareHoldersEquity,NetEquityChange,BuyBackYield,EBIT_EV,OCF_EV,FCF_EV,EBIT1year,EBITGrowth1year,EBIT3year,EBITGrowth3year,EBIT5year,EBITGrowth5year,Sales1year,SalesGrowth1year,Sales3year,SalesGrowth3year,Sales5year,SalesGrowth5year,OCF1year,OCFGrowth1year,OCF3year,OCFGrowth3year,OCF5year,OCFGrowth5year,SharesOutstanding,SharesOutstanding1year,NetRepurchase1year,DividendsPerShare,DividendYield,ShareholderYield1,ShareholderYield2,Sector,Cash,Investments,Cash+LT,ST_Debt,LT_Debt,Net_Cash,R_D
MSFT-US,Microsoft Corporation,12/31/2021,12/31/2021,12/31/2021,0,336.32,2525084,2473404,176251,74278,81945,60420,21525,0.740046269,0.816434092,0.6019763,1.75602325,174529,129787.8,14201.8,69830,100369.4,0.209822265,0.477588524,0.42143307,0.385149588,67883,323526.2,142137,26566,0.010520838,0.030030678,0.033130455,0.024427873,56149,0.32287307,37139,1,20133,2.689365718,147114,0.198057289,114740,0.536090291,84803,1.078358077,66192,0.237989485,45101,0.816922019,36280,1.25868247,7507.98,7564,0.007461394,2.48,0.00737393,0.014835324,0.017894768,Information Technology,129787.8,5638,135425.8,8363.4,72474.6,54587.8,21389
AAPL-US,Apple Inc.,12/31/2021,12/31/2021,12/31/2021,0,177.57,2913284.8,2987167.8,366295,110179,104038,92953,11085,2.016268643,1.903888736,1.701033946,6.703175039,131207.5,67748.75,49786.25,40972.5,54645,0.276024121,1.441249448,0.300793077,0.258480187,94680,343013.5,65693,84866,0.029130691,0.036884101,0.034828308,0.031117435,65339,0.686267007,71042,0.550899468,57643,0.911402946,274150,0.336111618,265809,0.378038366,214226,0.709853146,80674,0.289610035,77434,0.343570008,65824,0.580548128,16406.4,16976.763,0.034764665,0.88,0.004955792,0.039720457,0.034086483,Information Technology,67748.75,129396,197144.75,14736.25,108264,74144.5,21914
AMZN-US,"Amazon.com, Inc.",12/31/2021,12/31/2021,12/31/2021,0,3334.34,1691004,1741308,457965,27834,54672,-2269,56941,0.179721159,0.353011253,-0.01465069,2.957030991,133380,81901.25,68507.25,171901.75,154873.25,0.075740611,0.243124712,0.06077757,0.057347177,26263,346749.25,108022.75,0,0,0.015984536,0.031397088,-0.001303043,20392,0.364947038,11032,1.52302393,4207,5.616115997,347946,0.316195617,220957,1.072643093,127993,2.578047237,55292,-0.011213195,26590,1.05611132,14603,2.743888242,507.148,502,-0.010150883,0,0,-0.010150883,0,Consumer Discretionary,81901.25,3220.25,85121.5,15853.25,97450.75,-28182.5,52788
TSLA-US,Tesla Inc,12/31/2021,12/31/2021,12/31/2021,0,1056.78,1061281.9,1056426.9,46848,4458,9931,2562,7369,0.166573254,0.371072002,0.095729178,1.750476404,25279.25,17511.25,7129.25,26124.25,26763,0.063603851,0.142864499,0.095158811,0.074026639,3468,54525,24274.75,-5488,-0.005171105,0.004219885,0.009400556,0.002425156,1766,1.524348811,-1270.132,-4.509871415,-646.775,-7.892659735,28176,0.662691652,17523.644,1.673416557,5929.88,6.900328506,4349,1.283513451,1373.132,6.232370959,294.531,32.7180127,1004.26,948,-0.056021349,0,0,-0.056021349,-0.005171105,Consumer Discretionary,17511.25,282,17793.25,2125.25,9654,6014,2375
GOOGL-US,Alphabet Inc. Class A,12/31/2021,12/31/2021,12/31/2021,0,2897.04,1922952.4,1809058.4,239265,72535,89395,65659,23736,0.531148741,0.654608696,0.480798169,1.75205492,176560,137416,4928.5,102347,136562.5,0.212464677,0.302209612,0.303157587,0.29514555,70618,332375.25,233672.25,44705,0.023248105,0.040095444,0.04941521,0.036294572,34570,1.098206537,31315,1.316302092,21774,2.331266648,171435,0.395660163,130328,0.835867964,84854,1.819725646,56874,0.571807856,45252,0.975492796,33038,1.705823597,663.76454,677.724,0.021030741,0,0,0.021030741,0.023248105,Communication Services,137416,24781.75,162197.75,2569,25513.25,134115.5,29876
GOOG-US,Alphabet Inc. Class C,12/31/2021,12/31/2021,12/31/2021,0,2893.59,1920662.5,1806768.5,239265,72535,89395,65659,23736,0.531148741,0.654608696,0.480798169,1.75205492,176560,137416,4928.5,102347,136562.5,0.212464677,0.302209612,0.303157587,0.29514555,70618,332375.25,233672.25,44705,0.023275823,0.040146261,0.049477838,0.036340572,34570,1.098206537,31315,1.316302092,21774,2.331266648,171435,0.395660163,130328,0.835867964,84854,1.819725646,56874,0.571807856,45252,0.975492796,33038,1.705823597,663.76454,677.724,0.021030741,0,0,0.021030741,0.023275823,Communication Services,137416,24781.75,162197.75,2569,25513.25,134115.5,29876
FB-US,Meta Platforms Inc. Class A,12/31/2021,12/31/2021,12/31/2021,0,336.35,935645.56,890594.56,112330,46943,53619,35808,17811,0.648204916,0.740389395,0.494449047,1.551090859,77277.5,62305.5,2333.5,59781.5,72420,0.243149285,0.30216631,0.417902608,0.358799964,40304,165758.25,133383.5,26405,0.028221157,0.052709731,0.060205847,0.040206848,28754,0.632572859,24445,0.92035181,10559,3.44578085,78976,0.422330835,51896,1.16452135,24670,3.553303608,36704,0.460848954,29327,0.828315204,12585,3.260548272,2781.761668,2850,0.024530618,0,0,0.024530618,0.028221157,Communication Services,62305.5,6555.5,68861,1103.25,11171.75,56586,22817
NVDA-US,NVIDIA Corporation,12/31/2021,12/31/2021,12/31/2021,0,294.11,735274.94,727803.94,24274,9105,8142,7156,986,1.249356797,1.117217248,0.981921718,3.330794827,21448.5,15860.25,1389.25,3088.75,7287.75,0.236395452,0.407234655,0.375092692,0.338098377,8207,34717.25,20153,-281,-0.00038217,0.012510237,0.011187079,0.009832318,4062,1.241506647,4583,0.986689941,1570,4.799363057,14777,0.642687961,12422,0.954113669,6138,2.954708374,5220,0.559770115,4203,0.937187723,1462,4.569083447,2500,2476,-0.0096,0.16,0.000544014,-0.009055986,0.000161844,Information Technology,15860.25,150.25,16010.5,881.5,9137,5992,4948
BRK.B-US,Berkshire Hathaway Inc. Class B,12/31/2021,12/31/2021,12/31/2021,0,299,667782.7,647984.7,268677,33464,42172,29432,12740,0.149536719,0.188449155,0.131519386,1.20060594,222597,144246.25,43850.75,189284.5,223784.5,0.095767273,0.187529171,0.124551041,0.320027393,85984,897843.25,458510,29186,0.043705834,0.051643195,0.065081784,0.045420826,28940,0.156323428,31066,0.077190498,35286,-0.051635209,246497,0.089980811,243015,0.10559842,217552,0.235001287,41304,0.021014914,34834,0.210656255,32507,0.297320577,2233.387,2355.954071,0.054879459,0,0,0.054879459,0.043705834,Financials,144246.25,332407.5,476653.75,5124.5,117454.25,354075,#N/A
JPM-US,JPMorgan Chase & Co.,12/31/2021,12/31/2021,12/31/2021,0,158.35,467967.03,1082245,128506,#N/A,40409,40409,0,#N/A,#N/A,#N/A,#N/A,1906676,#N/A,41497.75,34817,#N/A,0.013729608,0.175377806,#N/A,0.387756214,49829,3629309.75,284123.75,11511,0.024597887,#N/A,0.037338126,0.037338126,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,132982,-0.033658691,128101,0.003161568,103625,0.240106152,74586,-0.458222723,56400,-0.283528369,29686,0.36121404,2955.27,3047.966587,0.031366537,4,0.025260499,0.056627036,0.049858386,Financials,#N/A,642198,#N/A,312660.5,306337.25,#N/A,#N/A
