Symbol,BetaEndDate,Instance,Beta,UpsideBeta,DownsideBeta
AAPL-US,12/31/2020,AAPL-US_12/31/2020,1.123143072,1.156619679,1.086982686
MSFT-US,12/31/2020,MSFT-US_12/31/2020,1.120303571,1.165006306,1.080160222
AMZN-US,12/31/2020,AMZN-US_12/31/2020,0.682234235,0.683876691,0.643135666
FB-US,12/31/2020,FB-US_12/31/2020,0.992710106,0.944473901,1.021626461
GOOGL-US,12/31/2020,GOOGL-US_12/31/2020,0.954553027,0.90753492,0.964867947
GOOG-US,12/31/2020,GOOG-US_12/31/2020,0.946522986,0.901815848,0.953447983
BRK.B-US,12/31/2020,BRK.B-US_12/31/2020,0.899364628,0.918643298,0.896879899
JNJ-US,12/31/2020,JNJ-US_12/31/2020,0.677432615,0.817456635,0.599106436
PG-US,12/31/2020,PG-US_12/31/2020,0.707275088,0.869344595,0.625867635
V-US,12/31/2020,V-US_12/31/2020,1.124505608,1.171870708,1.068329547
NVDA-US,12/31/2020,NVDA-US_12/31/2020,1.328141192,1.320712722,1.327434832
HD-US,12/31/2020,HD-US_12/31/2020,1.090298132,1.081352591,1.154367005
MA-US,12/31/2020,MA-US_12/31/2020,1.232420667,1.266808451,1.161068786
UNH-US,12/31/2020,UNH-US_12/31/2020,1.129958101,1.179898006,1.126121072
JPM-US,12/31/2020,JPM-US_12/31/2020,1.281381242,1.319852869,1.247802082
VZ-US,12/31/2020,VZ-US_12/31/2020,0.525057506,0.576719619,0.498574568
ADBE-US,12/31/2020,ADBE-US_12/31/2020,1.089737958,1.081946952,1.095176863
PYPL-US,12/31/2020,PYPL-US_12/31/2020,1.152254764,1.286492764,1.075975266
CRM-US,12/31/2020,CRM-US_12/31/2020,1.050389521,0.977010656,1.074980109
DIS-US,12/31/2020,DIS-US_12/31/2020,1.046320234,1.035712996,1.035786536
NFLX-US,12/31/2020,NFLX-US_12/31/2020,0.652110769,0.575829619,0.71257636
INTC-US,12/31/2020,INTC-US_12/31/2020,1.157623329,1.255912176,1.138218571
CMCSA-US,12/31/2020,CMCSA-US_12/31/2020,0.898902796,0.928511954,0.857789525
MRK-US,12/31/2020,MRK-US_12/31/2020,0.687762615,0.715577919,0.680415069
PFE-US,12/31/2020,PFE-US_12/31/2020,0.682283736,0.73950194,0.666105566
T-US,12/31/2020,T-US_12/31/2020,0.823387511,0.874373612,0.81370544
WMT-US,12/31/2020,WMT-US_12/31/2020,0.512333866,0.631240603,0.448219987
ABT-US,12/31/2020,ABT-US_12/31/2020,0.852215696,0.982822481,0.744192161
PEP-US,12/31/2020,PEP-US_12/31/2020,0.888937786,0.962047728,0.886961781
KO-US,12/31/2020,KO-US_12/31/2020,0.796298294,0.725320709,0.831511684
BAC-US,12/31/2020,BAC-US_12/31/2020,1.400132637,1.459095302,1.354712358
TMO-US,12/31/2020,TMO-US_12/31/2020,0.7315713,0.906290092,0.592426741
CSCO-US,12/31/2020,CSCO-US_12/31/2020,0.982801318,1.101201976,0.87667679
MCD-US,12/31/2020,MCD-US_12/31/2020,0.937302542,0.942647233,0.981469976
COST-US,12/31/2020,COST-US_12/31/2020,0.596376558,0.671434198,0.553024239
NKE-US,12/31/2020,NKE-US_12/31/2020,0.939267685,0.921415157,0.950903251
ABBV-US,12/31/2020,ABBV-US_12/31/2020,0.707282626,0.684155548,0.769170093
AMGN-US,12/31/2020,AMGN-US_12/31/2020,0.800068915,0.906882996,0.728709149
AVGO-US,12/31/2020,AVGO-US_12/31/2020,1.243539383,1.120073566,1.332162545
