Symbol,BetaEndDate,Instance,Beta,UpsideBeta,DownsideBeta
MSFT-US,12/31/2021,MSFT-US_12/31/2021,1.146511863,1.237298105,1.050095187
AAPL-US,12/31/2021,AAPL-US_12/31/2021,1.307360465,1.289959537,1.237228529
AMZN-US,12/31/2021,AMZN-US_12/31/2021,1.060791582,0.889440996,1.237604488
TSLA-US,12/31/2021,TSLA-US_12/31/2021,1.870505978,1.850278137,1.74156787
GOOGL-US,12/31/2021,GOOGL-US_12/31/2021,1.294233623,1.354537987,1.297357395
GOOG-US,12/31/2021,GOOG-US_12/31/2021,1.258673891,1.32793018,1.238447233
FB-US,12/31/2021,FB-US_12/31/2021,1.273822262,1.222106551,1.441248041
NVDA-US,12/31/2021,NVDA-US_12/31/2021,1.991047919,1.922021176,1.992876923
BRK.B-US,12/31/2021,BRK.B-US_12/31/2021,0.735890616,0.855697481,0.651354601
JPM-US,12/31/2021,JPM-US_12/31/2021,0.824561906,0.811776631,0.796960346
HD-US,12/31/2021,HD-US_12/31/2021,0.804880106,0.713677079,0.912848622
JNJ-US,12/31/2021,JNJ-US_12/31/2021,0.389451302,0.362588906,0.421789545
UNH-US,12/31/2021,UNH-US_12/31/2021,0.65947647,0.753755131,0.573660756
PG-US,12/31/2021,PG-US_12/31/2021,0.369937645,0.355321158,0.455969751
BAC-US,12/31/2021,BAC-US_12/31/2021,0.919792251,1.001928707,0.85780819
V-US,12/31/2021,V-US_12/31/2021,1.074885169,1.134435386,0.98830331
ADBE-US,12/31/2021,ADBE-US_12/31/2021,1.410889969,1.359219805,1.459344957
PFE-US,12/31/2021,PFE-US_12/31/2021,-0.002060097,0.160501655,-0.233241082
NFLX-US,12/31/2021,NFLX-US_12/31/2021,1.027163306,1.00179105,1.08341194
MA-US,12/31/2021,MA-US_12/31/2021,1.337012172,1.336770399,1.30769014
DIS-US,12/31/2021,DIS-US_12/31/2021,0.947395398,0.819192186,1.10187842
CRM-US,12/31/2021,CRM-US_12/31/2021,1.158680574,1.214290684,1.160333597
XOM-US,12/31/2021,XOM-US_12/31/2021,0.982233294,1.043460837,0.887079586
TMO-US,12/31/2021,TMO-US_12/31/2021,0.628670198,0.772882438,0.428834419
COST-US,12/31/2021,COST-US_12/31/2021,0.736066853,0.699338406,0.792214368
CMCSA-US,12/31/2021,CMCSA-US_12/31/2021,0.875731438,0.65884365,0.983842713
ACN-US,12/31/2021,ACN-US_12/31/2021,1.038078802,1.248908043,0.907645225
CSCO-US,12/31/2021,CSCO-US_12/31/2021,0.844455167,1.096849387,0.540757895
PEP-US,12/31/2021,PEP-US_12/31/2021,0.525574329,0.49349809,0.61752102
CVX-US,12/31/2021,CVX-US_12/31/2021,0.910887257,0.949351429,0.856683474
LLY-US,12/31/2021,LLY-US_12/31/2021,0.545936364,0.655199521,0.490933917
PYPL-US,12/31/2021,PYPL-US_12/31/2021,1.635381847,1.625882098,1.57815072
ABT-US,12/31/2021,ABT-US_12/31/2021,0.51700612,0.623757184,0.317847546
AVGO-US,12/31/2021,AVGO-US_12/31/2021,1.510603955,1.620068967,1.372352459
VZ-US,12/31/2021,VZ-US_12/31/2021,0.215926532,0.11718623,0.311799635
KO-US,12/31/2021,KO-US_12/31/2021,0.56191121,0.477933743,0.688445263
NKE-US,12/31/2021,NKE-US_12/31/2021,0.975186869,1.082220484,0.847722601
WMT-US,12/31/2021,WMT-US_12/31/2021,0.484431869,0.322724527,0.671263214
ABBV-US,12/31/2021,ABBV-US_12/31/2021,0.589648359,0.542629414,0.6303279
DHR-US,12/31/2021,DHR-US_12/31/2021,0.625744758,0.770456457,0.470695184
MRK-US,12/31/2021,MRK-US_12/31/2021,0.265665838,0.183162751,0.310875484
WFC-US,12/31/2021,WFC-US_12/31/2021,1.160708132,1.086888078,1.154814828
QCOM-US,12/31/2021,QCOM-US_12/31/2021,1.562132203,1.402497515,1.535892346
INTC-US,12/31/2021,INTC-US_12/31/2021,1.328209988,1.299129583,1.167252754
AMD-US,12/31/2021,AMD-US_12/31/2021,1.638760133,1.471685689,1.814855498
MCD-US,12/31/2021,MCD-US_12/31/2021,0.658242293,0.621469078,0.724090679
LOW-US,12/31/2021,LOW-US_12/31/2021,0.872597659,0.827850617,0.904575466
TXN-US,12/31/2021,TXN-US_12/31/2021,1.468738258,1.547911584,1.391680541
T-US,12/31/2021,T-US_12/31/2021,0.359152353,0.328950649,0.431008941
